ID,MARKA,MODEL,DLUGOSC,ILOSC,POZIOM,PLEC,WAGA_MIN,WAGA_MAX,WZROST_MIN,WZROST_MAX,PRZEZNACZENIE,ROK,UWAGI
1,KNEISSL,MY STAR XC,144,2,4D,K,55,90,155,165,SLG,2024,
2,ATOMIC,CLOUD Q14 REVOSHOCK,144,2,6D,K,60,90,155,165,C,2025,
3,AK,PINK,146,2,5D,K,50,90,156,166,SLG,2025,
4,ATOMIC,CLOUD C14 REVOSHOCK,147,1,6D,K,60,90,157,167,SLG,2025,
5,VOLKL,FLAIR SC CARBON,148,1,5D,K,50,90,158,168,SL,2025,
6,HEAD,WC REBELS e.XSR,149,1,5M/6D,U,50,100,159,169,"SL,C",2025,
7,SALOMON,ADDIKT PRO,149,1,5M/6D,U,60,120,164,169,SL,2024,
8,FISCHER,RC4 SC,150,3,6M,M,60,120,165,170,SL,2024,
9,SALOMON,S/MAX N8 W,150,3,4D,K,50,90,160,170,C,2025,
10,ATOMIC,CLOUD C9,150,1,4D,K,50,90,160,170,"SLG,C",2025,
11,VOLKL,RACETIGER SL,150,1,6M,M,60,120,165,170,SL,2024,
12,GRENZWERTIG,LIMITLESS,151,1,4M/6D,U,55,90,160,170,"SLG,C",2024,
13,KNEISSL,MY STAR XC,152,4,4D,K,55,90,162,172,SLG,2024,
14,ATOMIC,CLOUD Q14 REVOSHOCK,152,1,6D,K,60,90,162,172,C,2025,
15,ATOMIC,REDSTER Q9 REVOSHOCK,152,1,6M,M,60,120,162,172,C,2025,
16,ROSSIGNOL,NOVA 10 TI,153,2,6D,K,55,90,163,173,"SLG,C",2024,
17,VOLKL,FLAIR SC CARBON,153,2,5D,K,50,90,168,173,SL,2025,
18,VOLKL,RACETIGER SRC,153,1,4M/5D,U,50,90,163,173,"SLG,C",2025,
19,ATOMIC,CLOUD C12 REVOSHOCK,154,2,5D,K,50,90,164,174,SLG,2025,
20,ATOMIC,CLOUD C14 REVOSHOCK,154,2,6D,K,60,90,164,174,C,2025,
21,BLIZZARD,FIREBIRD TI 71,154,2,4M/5D,U,50,100,164,174,"SLG,C",2024,
22,SALOMON,S/MAX N8 W,155,4,4D,K,50,90,165,175,C,2024,
23,ATOMIC,REDSTER S9i REVOSHOCK,155,1,6M,M,60,120,170,175,SL,2025,
24,KASTLE,RX 12 SL,155,1,6M,M,55,120,170,175,SL,2025,
25,NORDICA,DOBERMANN SLR,155,1,6M,M,60,120,170,175,SL,2025,
26,SALOMON,E S/MAX 24 ENDURANCE,155,4,4M/5D,U,50,100,165,175,"SLG,C",2025,
27,HEAD,WC REBELS e.XSR,156,2,5M/6D,U,50,100,166,176,"SL,C",2025,
28,SALOMON,ADDIKT PRO,156,1,5M/6D,U,60,120,170,176,SL,2024,
29,ATOMIC,REDSTER S7,156,1,4M/5D,U,55,90,166,176,SL,2024,
30,HEAD,SX BLACK EDITION,156,1,4M/5D,U,50,90,166,176,"SLG,C",2024,
31,MOLITOR,MASTER M2,156,2,5M/6D,U,55,120,171,176,SL,2025,
32,MAGNUM,magnum,156,1,6M,M,55,120,170,176,"SL,C",2025,
33,KASTLE,MX 74,157,1,4M/5D,U,55,120,167,177,"SLG,C",2025,
34,VOLKL,RACETIGER SRC,158,1,4M/5D,U,50,90,168,178,"SLG,C",2025,
35,VOLKL,FLAIR SC CARBON,158,1,5D,K,50,90,173,178,SL,2025,
36,ROSSIGNOL,HERO ELITE MT CARBON,159,1,6M,M,60,120,169,179,"SLG,C",2025,
37,BLIZZARD,FIREBIRD TI 71,160,3,4M/5D,U,50,100,170,180,"SLG,C",2024,
38,FISCHER,RC4 POWER,160,2,5M/6D,U,50,100,170,180,SLG,2024,
39,BLIZZARD,FIREBIRD TI,160,2,4M/5D,U,50,100,170,180,"SLG,C",2025,
40,VOLKL,RACETIGER SC,160,2,5M/6D,U,60,120,175,180,SL,2024,
41,SALOMON,E S/MAX 24 ENDURANCE,160,5,4M/5D,U,50,100,170,180,"SLG,C",2025,
42,SALOMON,S/MAX N8 W,160,1,4D,K,50,90,170,180,C,2025,
43,NORDICA,DOBERMANN MULTIGARA DC,160,1,6M,M,60,120,170,180,SLG,2025,
44,ATOMIC,REDSTER Q9 REVOSHOCK,160,1,6M,M,60,120,170,180,C,2025,
45,ATOMIC,CLOUD Q14 REVOSHOCK,160,1,6D,K,60,90,170,180,C,2025,
46,VOLKL,RACETIGER SL,160,1,6M,M,60,120,175,180,SL,2024,
47,HEAD,WC REBELS e-SL,160,1,6M,M,60,120,175,180,SL,2025,
48,ATOMIC,CLOUD C14 REVOSHOCK,161,2,6D,K,60,90,171,181,C,2025,
49,ATOMIC,CLOUD C12 REVOSHOCK,161,2,5D,K,50,90,171,181,SLG,2025,
50,MOLITOR,RELEASE R2,162,2,5M,M,55,120,172,182,SLG,2025,
51,BLIZZARD,FIREBIRD TI,162,2,4M,M,50,100,182,192,"SLG,C",2025,
52,HEAD,WC REBELS e.XSR,163,5,5M/6D,U,50,100,173,183,"SL,C",2025,
53,HEAD,e-MAGNUM,163,1,6M,M,55,120,173,183,"SL,C",2024,
54,VOLKL,RACETIGER SRC,163,2,4M/5D,U,50,90,173,183,"SLG,C",2025,
55,K2,MINDBENDER RX,163,1,4M,M,50,100,173,183,OFF,2025,
56,MOLITOR,MASTER M2,163,1,5M/6D,U,55,120,178,183,SL,2025,
57,SALOMON,E S/MAX 24 ENDURANCE,165,5,4M/5D,U,50,100,175,185,"SLG,C",2025,
58,KASTLE,RX 12 SL,165,2,6M,M,60,120,180,185,SL,2025,
59,ATOMIC,REDSTER S9i REVOSHOCK,165,1,6M,M,60,120,180,185,SL,2025,
60,BLIZZARD,FIREBIRD TI,166,4,4M/5D,U,50,100,176,186,"SLG,C",2025,
61,ATOMIC,REDSTER Q7.8,166,1,5M,M,60,120,176,186,C,2025,
62,ROSSIGNOL,HERO ELITE MT CARBON,167,1,6M,M,60,120,177,187,"SLG,C",2025,
63,KNEISSL,RED STAR RC,168,2,5M,M,55,120,178,188,SLG,2024,
64,VOLKL,RACETIGER SRC,168,2,4M/5D,U,50,90,178,188,"SLG,C",2025,
65,NORDICA,SPITFIRE CA,168,2,4M/5D,U,50,100,178,188,"SLG,C",2025,
66,ATOMIC,CLOUD C12 REVOSHOCK,168,1,5D,K,50,90,178,188,SLG,2025,
67,K2,MINDBENDER 85,170,3,4M,M,50,100,180,190,OFF,2025,
68,HEAD,SX BLACK EDITION,170,1,4M/5D,U,50,90,180,190,"SLG,C",2024,
69,HEAD,WC REBELS e.XSR,170,3,5M/6D,U,50,100,180,190,"SL,C",2025,
70,SALOMON,E S/MAX 24 ENDURANCE,170,6,4M/5D, U,50,100,180,190,"SLG,C",2025,
71,MOLITOR,RELEASE R2,172,2,5M,M,55,120,182,192,SLG,2025,
72,BLIZZARD,FIREBIRD TI,172,2,4M,M,50,100,182,192,"SLG,C",2025,
73,NORDICA,SPITFIRE CA,174,2,4M,M,50,100,184,194,"SLG,C",2025,
74,ROSSIGNOL,HERO ELITE MT CARBON,175,1,6M,M,60,120,185,195,"SLG,C",2025,
75,ATOMIC,REDSTER X9 REVOSHOCK,175,1,6M,M,60,120,185,195,SLG,2025,
76,SALOMON,ADDIKT PRO,177,1,5M,M,60,120,187,197,SL,2024,
77,K2,MINDBENDER RX,177,2,4M,M,50,100,187,197,OFF,2025,
78,ATOMIC,REDSTER G9 REVOSHOCK,177,1,6M,M,60,120,172,177,G,2025,
79,BLIZZARD,FIREBIRD TI 71,178,2,4M,M,50,100,188,198,"SLG,C",2024,
80,HEAD,SUPERSHAPE e-MAGNUM,170,1,6M,M,55,120,180,190,"SL,C",2024,
81,HEAD,SHAPE e-V8,170,1,4M,M,50,100,180,190,"SLG,C",2025,
