NAZWA NART,ILOŚĆ,POZIOM,PŁEĆ,WAGA MIN,WAGA MAX,WZROST MIN,WZROST MAX,PRZEZNACZENIE,,,
NARTY KNEISSL MY STAR XC 144cm /2024,2,4,D,55,90,155,165,SLG,,instrukcja,
NARTY ATOMIC CLOUD Q14 REVOSHOCK 144cm /2025,2,6,D,60,90,155,165,C,,D,DAMSKIE
NARTY AK PINK 146cm /2025,2,5,D,50,90,156,166,SLG,,M,MĘSKIE
NARTY ATOMIC CLOUD C14 REVOSHOCK 147cm /2025,1,6,D,60,90,157,167,SLG,,U,UNISEX
NARTY VOLKL FLAIR SC CARBON 148cm /2025,1,5,D,50,90,158,168,SL,,,
NARTY HEAD WC REBELS e.XSR 149cm /2025,1,5M 6D,U,50,100,159,169,"SL,C",,SL,SLALOM
NARTY SALOMON ADDIKT PRO 149cm /2024,1,5M 6D,U,60,120,164,169,SL,,G,GIGANT
NARTY FISCHER RC4 SC 150cm /2024,3,6,M,60,120,165,170,SL,,SLG,POMIĘDZY
NARTY SALOMON S/MAX N8 W 150cm /2025,3,4,D,50,90,160,170,C,,C,NA CAŁY DZIEŃ
NARTY ATOMIC CLOUD C9 150cm /2025,1,4,D,50,90,160,170,"SLG,C",,OFF,POZA TRASĘ
NARTY VOLKL RACETIGER SL 150cm /2024,1,6,M,60,120,165,170,SL,,,
NARTY GRENZWERTIG LIMITLESS 151cm /2024,1,4M 6D,U,55,90,160,170,"SLG,C",,,
NARTY KNEISSL MY STAR XC 152cm /2024,4,4,D,55,90,162,172,SLG,,,
NARTY ATOMIC CLOUD Q14 REVOSHOCK 152cm /2025,1,6,D,60,90,162,172,C,,,
NARTY ATOMIC REDSTER Q9 REVOSHOCK 152cm /2025,1,6,M,60,120,162,172,C,,,
NARTY ROSSIGNOL NOVA 10 TI 153cm /2024,2,6,D,55,90,163,173,"SLG,C",,,
NARTY VOLKL FLAIR SC CARBON 153cm /2025,2,5,D,50,90,168,173,SL,,,
NARTY VOLKL RACETIGER SRC 153cm /2025,1,4M 5D,U,50,90,163,173,"SLG,C",,,
NARTY ATOMIC CLOUD C12 REVOSHOCK 154cm /2025,2,5,D,50,90,164,174,SLG,,,
NARTY ATOMIC CLOUD C14 REVOSHOCK 154cm /2025,2,6,D,60,90,164,174,C,,,
NARTY BLIZZARD FIREBIRD TI 71 154cm /2024,2,4M 5D,U,50,100,164,174,"SLG,C",,,
NARTY SALOMON S/MAX N8 W 155cm /2024,4,4,D,50,90,165,175,C,,,
NARTY ATOMIC REDSTER S9i REVOSHOCK 155cm /2025,1,6,M,60,120,170,175,SL,,,
NARTY KASTLE RX 12 SL 155cm  /2025,1,6,M,55,120,170,175,SL,,,
NARTY NORDICA DOBERMANN SLR 155cm /2025,1,6,M,60,120,170,175,SL,,,
NARTY SALOMON E S/MAX 24 ENDURANCE 155cm /2025,4,4M 5D,U,50,100,165,175,"SLG,C",,,
NARTY HEAD WC REBELS e.XSR 156cm /2025,2,5M 6D,U,50,100,166,176,"SL,C",,,
NARTY SALOMON ADDIKT PRO 156cm /2024,1,5M 6D,U,60,120,170,176,SL,,,
NARTY ATOMIC REDSTER S7 156cm,1,4M 5D,U,55,90,166,176,SL,,,
NARTY HEAD SX BLACK EDITION 156cm ,1,4M 5D,U,50,90,166,176,"SLG,C",,,
NARTY MOLITOR MASTER M2 156cm /2025,2,5M 6D,U,55,120,171,176,SL,,,
magnum 156,1,6,M,55,120,170,176,"SL,C",,,
NARTY KASTLE MX 74 157cm  /2025,1,4M 5D,U,55,120,167,177,"SLG,C",,,
NARTY VOLKL RACETIGER SRC 158cm /2025,1,4M 5D,U,50,90,168,178,"SLG,C",,,
NARTY VOLKL FLAIR SC CARBON 158cm /2025,1,5,D,50,90,173,178,SL,,,
NARTY ROSSIGNOL HERO ELITE MT CARBON 159cm /2025,1,6,M,60,120,169,179,"SLG,C",,,
NARTY BLIZZARD FIREBIRD TI 71 160cm /2024,3,4M 5D,U,50,100,170,180,"SLG,C",,,
NARTY FISCHER RC4 POWER 160cm /2024,2,5M 6D,U,50,100,170,180,SLG,,,
NARTY BLIZZARD FIREBIRD TI 160cm /2025,2,4M 5D,U,50,100,170,180,"SLG,C",,,
NARTY VOLKL RACETIGER SC 160cm,2,5M 6D,U,60,120,175,180,SL,,,
NARTY SALOMON E S/MAX 24 ENDURANCE 160cm /2025,5,4M 5D,U,50,100,170,180,"SLG,C",,,
NARTY SALOMON S/MAX N8 W 160cm /2025,1,4,D,50,90,170,180,C,,,
NARTY NORDICA DOBERMANN MULTIGARA DC 160cm /2025,1,6,M,60,120,170,180,SLG,,,
NARTY ATOMIC REDSTER Q9 REVOSHOCK 160cm /2025,1,6,M,60,120,170,180,C,,,
NARTY ATOMIC CLOUD Q14 REVOSHOCK 160cm /2025,1,6,D,60,90,170,180,C,,,
NARTY VOLKL RACETIGER SL 160cm /2024,1,6,M,60,120,175,180,SL,,,
NARTY HEAD WC REBELS e-SL 160cm /2025,1,6,M,60,120,175,180,SL,,,
NARTY ATOMIC CLOUD C14 REVOSHOCK 161cm /2025,2,6,D,60,90,171,181,C,,,
NARTY ATOMIC CLOUD C12 REVOSHOCK 161cm /2025,2,5,D,50,90,171,181,SLG,,,
NARTY MOLITOR RELEASE R2 162cm /2025,2,5,M,55,120,172,182,SLG,,,
NARTY NORDICA SPITFIRE CA 162cm /2025,1,4M 5D,U,50,100,172,182,"SLG,C",,,
NARTY HEAD WC REBELS e.XSR 163cm /2025,5,5M 6D,U,50,100,173,183,"SL,C",,,
NARTY HEAD e-MAGNUM 163cm,1,6,M,55,120,173,183,"SL,C",,,
NARTY VOLKL RACETIGER SRC 163cm /2025,2,4M 5D,U,50,90,173,183,"SLG,C",,,
NARTY K2 MINDBENDER RX 163cm /2025,1,4,,50,100,173,183,OFF,,,
NARTY MOLITOR MASTER M2 163cm /2025,1,5M 6D,U,55,120,178,183,SL,,,
NARTY SALOMON E S/MAX 24 ENDURANCE 165cm /2025,5,4M 5D,U,50,100,175,185,"SLG,C",,,
NARTY KASTLE RX 12 SL 165cm  /2025,2,6,M,60,120,180,185,SL,,,
NARTY ATOMIC REDSTER S9i REVOSHOCK 165cm /2025,1,6,M,60,120,180,185,SL,,,
NARTY BLIZZARD FIREBIRD TI 166cm /2025,4,4M 5D,U,50,100,176,186,"SLG,C",,,
NARTY ATOMIC REDSTER Q7.8 166cm /2025,1,5,M,60,120,176,186,C,,,
NARTY ROSSIGNOL HERO ELITE MT CARBON 167cm /2025,1,6,M,60,120,177,187,"SLG,C",,,
NARTY KNEISSL RED STAR RC 168cm /2024,2,5,M,55,120,178,188,SLG,,,
NARTY VOLKL RACETIGER SRC 168cm /2025,2,4M 5D,U,50,90,178,188,"SLG,C",,,
NARTY NORDICA SPITFIRE CA 168cm /2025,2,4M 5D,U,50,100,178,188,"SLG,C",,,
NARTY ATOMIC CLOUD C12 REVOSHOCK 168cm /2025,1,5,D,50,90,178,188,SLG,,,
NARTY K2 MINDBENDER 85 170cm /2025,3,4,,50,100,180,190,OFF,,,
NARTY HEAD SX BLACK EDITION 170cm ,1,4M 5D,U,50,90,180,190,"SLG,C",,,
NARTY HEAD WC REBELS e.XSR 170cm /2025,3,5M 6D,U,50,100,180,190,"SL,C",,,
NARTY SALOMON E S/MAX 24 ENDURANCE 170cm /2025,6,4M 5D, U,50,100,180,190,"SLG,C",,,
NARTY MOLITOR RELEASE R2 172cm /2025,2,5,M,55,120,182,192,SLG,,,
NARTY BLIZZARD FIREBIRD TI 172cm /2025,2,4,M,50,100,182,192,"SLG,C",,,
NARTY NORDICA SPITFIRE CA 174cm /2025,2,4,M,50,100,184,194,"SLG,C",,,
NARTY ROSSIGNOL HERO ELITE MT CARBON 175cm /2025,1,6,M,60,120,185,195,"SLG,C",,,
NARTY ATOMIC REDSTER X9 REVOSHOCK 175cm /2025,1,6,M,60,120,185,195,SLG,,,
NARTY SALOMON ADDIKT PRO 177cm /2024,1,5,M,60,120,187,197,SL,,,
NARTY K2 MINDBENDER RX 177cm /2025,2,4,M,50,100,187,197,OFF,,,
NARTY ATOMIC REDSTER G9 REVOSHOCK 177cm /2025,1,6,M,60,120,172,177,G,,,
NARTY BLIZZARD FIREBIRD TI 71 178cm /2024,2,4,M,50,100,188,198,"SLG,C",,,
NARTY HEAD SUPERSHAPE e-MAGNUM 170cm /2024,1,6,M,55,120,180,190,"SL,C",,,
NARTY HEAD SHAPE e-V8 170cm /2025,1,4,M,50,100,180,190,"SLG,C",,,
